Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,8.030000,8.060000,7.980000,8.050000,7.572392,496200
2020-01-03,8.000000,8.060000,7.990000,8.020000,7.544172,1249800
2020-01-06,8.060000,8.080000,8.020000,8.080000,7.600612,7641100
2020-01-07,8.030000,8.030000,7.970000,7.970000,7.497138,309500
2020-01-08,8.040000,8.080000,8.020000,8.070000,7.591205,127900
2020-01-09,8.070000,8.090000,8.040000,8.090000,7.610019,1092300
2020-01-10,8.230000,8.260000,8.170000,8.210000,7.722898,339400
2020-01-13,8.180000,8.310000,8.150000,8.310000,7.816966,208100
2020-01-14,8.190000,8.230000,8.150000,8.230000,7.741712,609500
2020-01-15,8.200000,8.320000,8.160000,8.260000,7.769932,2484100
2020-01-16,8.440000,8.460000,8.350000,8.450000,7.948659,2483300
2020-01-17,8.330000,8.400000,8.320000,8.370000,8.041856,211900
2020-01-21,8.340000,8.410000,8.340000,8.380000,8.051465,140700
2020-01-22,8.330000,8.360000,8.300000,8.330000,8.003426,212200
2020-01-23,8.420000,8.460000,8.350000,8.420000,8.089896,217500
2020-01-24,8.520000,8.590000,8.520000,8.540000,8.205192,139000
2020-01-27,8.440000,8.470000,8.360000,8.360000,8.032248,207800
2020-01-28,8.570000,8.690000,8.520000,8.690000,8.349311,200000
2020-01-29,8.720000,8.790000,8.700000,8.710000,8.368527,203900
2020-01-30,8.780000,8.950000,8.780000,8.940000,8.589510,7283600
2020-01-31,8.740000,8.740000,8.600000,8.630000,8.291663,299800
2020-02-03,8.670000,8.790000,8.670000,8.750000,8.406959,226300
2020-02-04,8.720000,8.790000,8.720000,8.730000,8.387742,435500
2020-02-05,8.840000,8.880000,8.760000,8.830000,8.483822,366800
2020-02-06,8.790000,8.980000,8.790000,8.920000,8.570294,198000
2020-02-07,8.910000,8.950000,8.850000,8.900000,8.551078,186200
2020-02-10,8.850000,8.930000,8.850000,8.930000,8.579902,242100
2020-02-11,8.980000,9.000000,8.870000,8.920000,8.570294,136900
2020-02-12,8.790000,8.890000,8.780000,8.820000,8.474214,164100
2020-02-13,8.780000,8.890000,8.770000,8.850000,8.503039,152800
2020-02-14,8.860000,8.980000,8.860000,8.950000,8.599118,106400
2020-02-18,9.040000,9.190000,9.040000,9.120000,8.762453,190500
2020-02-19,9.180000,9.240000,9.170000,9.190000,8.829709,108400
2020-02-20,9.160000,9.180000,9.050000,9.080000,8.724021,144400
2020-02-21,9.180000,9.200000,9.060000,9.100000,8.743237,252900
2020-02-24,8.650000,8.770000,8.600000,8.600000,8.262840,258900
2020-02-25,8.530000,8.550000,8.270000,8.270000,7.945777,339900
2020-02-26,8.610000,8.700000,8.460000,8.480000,8.147543,306600
2020-02-27,8.610000,8.720000,8.400000,8.440000,8.109112,297600
2020-02-28,8.300000,8.520000,8.180000,8.420000,8.089896,300000
2020-03-02,8.300000,8.620000,8.290000,8.620000,8.282055,280000
2020-03-03,8.580000,8.800000,8.480000,8.540000,8.205192,393100
2020-03-04,8.940000,9.250000,8.910000,9.230000,8.868140,276200
2020-03-05,9.030000,9.150000,8.950000,8.990000,8.637549,196300
2020-03-06,8.910000,9.020000,8.790000,8.960000,8.608726,6145400
2020-03-09,8.100000,8.400000,7.800000,7.940000,7.628715,505200
2020-03-10,7.890000,7.930000,7.520000,7.760000,7.455772,470600
2020-03-11,7.430000,7.450000,7.140000,7.270000,6.984982,388800
2020-03-12,6.620000,6.620000,5.730000,5.870000,5.639868,2082800
2020-03-13,6.530000,6.540000,6.040000,6.350000,6.101050,756400
2020-03-16,5.760000,6.200000,5.690000,5.810000,5.582221,707400
2020-03-17,6.040000,6.400000,5.980000,6.330000,6.081834,712100
2020-03-18,6.160000,6.590000,5.880000,6.250000,6.004971,571300
2020-03-19,6.090000,7.050000,6.010000,6.400000,6.149090,2003500
2020-03-20,6.430000,6.590000,6.100000,6.320000,6.072227,2052700
2020-03-23,6.390000,6.530000,6.220000,6.340000,6.091442,778000
2020-03-24,6.740000,6.960000,6.590000,6.690000,6.427721,561700
2020-03-25,6.590000,6.930000,6.470000,6.680000,6.418112,334500
2020-03-26,6.730000,7.030000,6.670000,6.930000,6.658311,688200
2020-03-27,6.620000,6.910000,6.570000,6.740000,6.475760,4151700
2020-03-30,6.860000,7.140000,6.810000,7.020000,6.744783,5298700
2020-03-31,6.960000,7.100000,6.800000,7.020000,6.744783,6215100
2020-04-01,6.650000,6.700000,6.410000,6.480000,6.225954,2003200
2020-04-02,6.380000,6.740000,6.360000,6.670000,6.408504,2019800
2020-04-03,6.510000,6.580000,6.420000,6.570000,6.312426,738400
2020-04-06,6.560000,6.790000,6.520000,6.700000,6.437328,933800
