Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,59.459999,59.770000,59.240002,59.740002,59.740002,3084700
2020-01-03,59.880001,60.349998,59.880001,60.209999,60.209999,3713000
2020-01-06,60.959999,61.169998,60.689999,60.959999,60.959999,3250100
2020-01-07,60.349998,60.430000,59.830002,60.400002,60.400002,2683500
2020-01-08,59.810001,59.930000,59.400002,59.689999,59.689999,2965800
2020-01-09,59.450001,59.750000,59.009998,59.680000,59.680000,2834300
2020-01-10,59.330002,59.349998,58.990002,59.009998,59.009998,2622200
2020-01-13,58.799999,59.099998,58.580002,58.959999,58.959999,2981100
2020-01-14,58.799999,58.950001,58.599998,58.919998,58.919998,2259600
2020-01-15,58.799999,58.970001,58.590000,58.820000,58.820000,3500000
2020-01-16,59.180000,59.240002,58.669998,58.770000,58.770000,2735400
2020-01-17,58.779999,58.810001,58.450001,58.540001,58.540001,2478500
2020-01-21,57.880001,57.910000,57.459999,57.459999,57.459999,2942600
2020-01-22,57.779999,57.779999,57.360001,57.439999,57.439999,3300700
2020-01-23,57.080002,57.430000,56.779999,57.400002,57.400002,2772900
2020-01-24,57.340000,57.380001,56.880001,57.169998,57.169998,3015800
2020-01-27,56.150002,56.380001,55.889999,56.090000,56.090000,3308700
2020-01-28,55.799999,56.060001,55.740002,55.919998,55.919998,3307700
2020-01-29,55.689999,55.810001,55.450001,55.730000,55.730000,4032000
2020-01-30,53.950001,54.009998,52.930000,53.840000,53.840000,13942500
2020-01-31,52.779999,52.930000,51.830002,52.150002,52.150002,8654800
2020-02-03,51.380001,51.680000,51.049999,51.240002,51.240002,9734000
2020-02-04,51.980000,52.209999,51.590000,51.650002,51.650002,5737300
2020-02-05,52.980000,53.090000,52.730000,52.950001,52.950001,5308300
2020-02-06,52.590000,52.650002,52.020000,52.139999,52.139999,4212300
2020-02-07,51.730000,52.020000,51.630001,51.790001,51.790001,3841000
2020-02-10,51.320000,51.459999,51.169998,51.389999,51.389999,4003300
2020-02-11,51.830002,52.040001,51.630001,51.990002,51.990002,4447300
2020-02-12,52.580002,52.799999,52.299999,52.650002,52.650002,4397300
2020-02-13,51.160000,51.360001,50.779999,50.990002,50.990002,5050100
2020-02-14,50.919998,50.990002,50.230000,50.490002,50.490002,4830400
2020-02-18,50.020000,50.310001,49.950001,50.209999,50.209999,3781600
2020-02-19,50.259998,50.419998,50.150002,50.220001,50.220001,4628100
2020-02-20,50.070000,50.209999,49.520000,49.619999,49.619999,6078100
2020-02-21,49.060001,49.310001,48.759998,49.169998,49.169998,5515600
2020-02-24,46.889999,47.630001,46.889999,47.279999,47.279999,8705500
