Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,59.669998,60.020000,59.500000,59.889999,55.712467,1814300
2020-01-03,58.790001,59.259998,58.779999,58.840000,54.735714,1561700
2020-01-06,58.430000,58.680000,58.240002,58.450001,54.372917,1492600
2020-01-07,58.340000,58.680000,58.189999,58.389999,54.317101,1627600
2020-01-08,58.680000,59.299999,58.610001,58.900002,54.791527,1420400
2020-01-09,58.549999,58.639999,58.060001,58.290001,54.224075,1778800
2020-01-10,58.610001,58.970001,58.419998,58.450001,54.372917,1104800
2020-01-13,58.529999,59.380001,58.480000,59.130001,55.005482,1370200
2020-01-14,59.160000,59.480000,59.000000,59.230000,55.098503,1148300
2020-01-15,58.799999,59.320000,58.599998,58.990002,54.875248,1497100
2020-01-16,59.230000,59.360001,59.020000,59.150002,55.024090,1003300
2020-01-17,60.959999,61.049999,60.520000,60.669998,56.438061,1762100
2020-01-21,60.049999,60.340000,59.759998,59.950001,55.768288,2107400
2020-01-22,60.869999,61.110001,60.310001,60.500000,56.279919,2038900
2020-01-23,58.630001,58.959999,57.830002,58.910000,54.800827,2689200
2020-01-24,58.330002,58.480000,57.430000,57.759998,53.731045,1736400
2020-01-27,55.259998,55.549999,54.980000,55.099998,51.256584,2357400
2020-01-28,55.259998,55.740002,55.220001,55.509998,51.637989,1479400
2020-01-29,55.700001,55.810001,55.099998,55.250000,51.396126,1067500
2020-01-30,54.630001,55.259998,54.340000,55.220001,51.368221,1367600
2020-01-31,54.040001,54.080002,53.220001,53.430000,49.703075,3023700
2020-02-03,53.160000,53.570000,53.009998,53.139999,49.433308,1325100
2020-02-04,54.740002,55.029999,54.580002,54.970001,51.135658,1809700
2020-02-05,55.779999,55.869999,55.220001,55.680000,51.796131,1602400
2020-02-06,55.689999,55.790001,55.220001,55.380001,51.517056,1229300
2020-02-07,54.430000,54.639999,53.689999,53.730000,49.982151,1305900
2020-02-10,53.540001,53.610001,53.080002,53.430000,49.703075,1190600
2020-02-11,54.310001,54.349998,53.599998,53.849998,50.093781,1528100
2020-02-12,55.430000,55.509998,54.959999,55.279999,51.424030,1620700
2020-02-13,54.799999,55.070000,54.580002,54.869999,51.042629,1053700
2020-02-14,54.910000,54.939999,54.320000,54.500000,50.698441,1369200
2020-02-18,54.279999,54.480000,54.130001,54.419998,50.624020,796700
2020-02-19,54.459999,54.580002,54.240002,54.340000,50.549603,904800
2020-02-20,54.470001,54.759998,54.099998,54.189999,50.410061,1242200
2020-02-21,54.299999,54.709999,53.980000,54.619999,50.810070,2570100
2020-02-24,51.110001,51.490002,50.900002,51.230000,47.656532,2846500
2020-02-25,51.610001,51.639999,50.160000,50.430000,46.912338,2730600
2020-02-26,50.500000,50.660000,49.590000,49.709999,46.242561,2398100
2020-02-27,47.840000,48.330002,47.009998,47.259998,43.963455,4810000
2020-02-28,45.169998,47.080002,44.630001,46.930000,43.656471,7025700
2020-03-02,47.220001,48.889999,46.849998,48.770000,45.368126,6370300
2020-03-03,49.560001,50.650002,48.259998,48.759998,45.358822,6984400
2020-03-04,50.689999,51.520000,50.099998,51.480000,47.889095,3222800
2020-03-05,49.369999,50.130001,49.049999,49.270000,45.833252,4025300
2020-03-06,46.169998,46.660000,45.669998,46.160000,45.052448,4163800
2020-03-09,42.380001,43.639999,41.410000,41.810001,40.806820,6536000
2020-03-10,44.980000,45.939999,43.540001,45.799999,44.701084,5030100
2020-03-11,44.150002,44.610001,41.740002,42.709999,41.685223,5598100
2020-03-12,39.130001,39.880001,37.139999,38.860001,37.927601,6720900
2020-03-13,42.130001,43.900002,40.049999,43.900002,42.846676,4905700
2020-03-16,39.099998,42.119999,38.820000,40.259998,39.294010,3482600
2020-03-17,40.480000,42.689999,40.090000,41.790001,40.787300,2965500
2020-03-18,38.480000,39.720001,36.880001,38.029999,37.117516,3420800
2020-03-19,37.740002,38.720001,35.820000,37.959999,37.049194,3744400
2020-03-20,38.529999,39.490002,36.439999,36.570000,35.692547,3702000
2020-03-23,36.099998,37.209999,35.349998,36.419998,35.546143,4318800
2020-03-24,39.790001,42.450001,39.110001,42.169998,41.158180,4076500
2020-03-25,42.650002,46.020000,42.340000,44.180000,43.119953,4558700
2020-03-26,45.220001,46.099998,44.279999,45.400002,44.310684,3325500
2020-03-27,43.000000,44.599998,42.490002,43.570000,42.524590,2730500
2020-03-30,45.299999,45.980000,43.970001,44.910000,43.832439,3321100
2020-03-31,45.509998,46.639999,45.029999,45.560001,44.466843,3434400
2020-04-01,45.060001,45.619999,43.980000,44.169998,43.110191,3913100
2020-04-02,45.430000,46.740002,44.799999,46.009998,44.906044,2874700
2020-04-03,46.310001,46.560001,44.599998,45.040001,43.959320,3410800
2020-04-06,46.380001,46.770000,45.770000,46.340000,45.228127,3474500
2020-04-07,47.150002,47.189999,45.709999,45.730000,44.632763,3004400
2020-04-08,45.599998,46.310001,45.040001,46.000000,44.896286,1916600
2020-04-09,46.860001,48.060001,46.799999,47.660000,46.516457,3412600
2020-04-13,48.189999,48.189999,47.160000,47.869999,46.721416,1557800
2020-04-14,48.419998,48.950001,47.740002,47.990002,46.838539,3106300
2020-04-15,46.040001,46.369999,45.799999,46.020000,44.915806,3019600
2020-04-16,46.439999,46.590000,45.770000,46.470001,45.355011,2940100
2020-04-17,48.110001,48.150002,47.230000,47.639999,46.496937,2250700
2020-04-20,46.910000,47.799999,46.349998,46.400002,45.286690,2552600
2020-04-21,45.200001,45.669998,44.349998,44.630001,43.559158,2617900
2020-04-22,46.200001,46.549999,45.709999,46.290001,45.179329,2239700
2020-04-23,46.410000,47.520000,45.939999,46.040001,44.935326,1471900
2020-04-24,46.990002,47.060001,45.970001,46.500000,45.384289,2377500
2020-04-27,46.619999,47.020000,46.360001,46.889999,45.764931,1403300
2020-04-28,47.349998,47.630001,46.750000,46.959999,45.833252,1502700
2020-04-29,48.230000,49.180000,48.160000,48.869999,47.697422,2338600
2020-04-30,46.369999,47.009998,45.869999,46.189999,45.081726,2416200
2020-05-01,44.549999,45.340000,44.520000,45.040001,43.959320,2865500
2020-05-04,44.470001,44.980000,44.110001,44.980000,43.900761,2329900
2020-05-05,44.939999,45.450001,44.209999,44.250000,43.188274,1972800
2020-05-06,45.200001,45.279999,44.360001,44.509998,43.442036,1485900
2020-05-07,45.639999,46.310001,45.590000,45.799999,44.701084,1781900
2020-05-08,46.880001,47.000000,46.310001,46.950001,45.823494,1615200
2020-05-11,45.099998,45.799999,45.080002,45.470001,44.379005,1721600
2020-05-12,46.310001,46.500000,44.970001,44.990002,43.910522,1521100
2020-05-13,45.930000,45.930000,45.139999,45.720001,44.623005,2890100
2020-05-14,44.740002,46.680000,44.570000,46.560001,45.442852,3766000
2020-05-15,47.599998,48.299999,47.169998,47.590000,46.448135,3319100
2020-05-18,51.110001,52.000000,50.880001,51.419998,50.186237,2931000
2020-05-19,51.930000,52.459999,51.700001,51.820000,50.576641,2150200
2020-05-20,52.630001,52.950001,52.000000,52.389999,51.132965,1999200
2020-05-21,52.290001,52.619999,51.459999,51.820000,50.576641,1962800
2020-05-22,51.500000,52.279999,51.259998,52.119999,50.869442,1508800
2020-05-26,51.790001,52.110001,51.180000,51.459999,50.225277,2344900
2020-05-27,52.509998,52.599998,51.820000,52.340000,51.084164,2208400
2020-05-28,52.860001,53.169998,52.400002,52.509998,51.250084,2259000
2020-05-29,53.279999,54.080002,53.070000,53.919998,52.626251,2739100
2020-06-01,54.230000,55.020000,54.119999,54.869999,53.553459,1715300
2020-06-02,55.459999,56.150002,55.330002,55.750000,54.412346,3110600
2020-06-03,56.090000,56.990002,56.009998,56.529999,55.173630,1850900
2020-06-04,56.209999,56.680000,55.900002,56.650002,55.290752,2416000
2020-06-05,57.540001,57.790001,56.320000,56.549999,55.193150,3684200
2020-06-08,58.189999,58.389999,57.480000,58.279999,56.881641,2492700
2020-06-09,56.799999,57.900002,56.540001,57.750000,56.364357,2212100
2020-06-10,58.330002,58.910000,57.900002,58.570000,57.164684,2239200
2020-06-11,56.820000,57.020000,55.410000,55.549999,54.217144,2898900
2020-06-12,57.889999,58.080002,56.720001,57.500000,56.120358,3307700
2020-06-15,55.590000,57.389999,55.340000,57.090000,55.720196,2710200
2020-06-16,58.200001,58.450001,56.849998,57.450001,56.071556,2533100
2020-06-17,57.709999,58.009998,57.279999,57.459999,56.081314,1683200
2020-06-18,55.959999,56.230000,55.730000,56.130001,54.783230,2362500
2020-06-19,55.709999,56.029999,54.869999,55.020000,53.699863,2479800
2020-06-22,56.099998,56.400002,55.869999,56.119999,54.773468,1887400
2020-06-23,57.070000,57.810001,56.840000,56.919998,55.554272,2283800
2020-06-24,56.419998,56.509998,55.560001,55.630001,54.295227,2027800
2020-06-25,56.180000,56.790001,55.950001,56.759998,55.398109,1686500
2020-06-26,56.709999,56.720001,55.750000,55.799999,54.461147,1722600
2020-06-29,56.020000,56.119999,55.400002,55.590000,54.256184,1296900
2020-06-30,55.310001,56.430000,55.270000,56.180000,54.832027,1786600
2020-07-01,55.889999,56.200001,55.330002,55.980000,54.636826,2369900
2020-07-02,56.709999,57.160000,56.150002,56.290001,54.939392,1869500
2020-07-06,56.580002,57.000000,56.240002,56.950001,55.583553,2120000
2020-07-07,56.400002,57.540001,56.369999,56.910000,55.544514,2802100
2020-07-08,57.470001,58.340000,57.410000,58.299999,56.901161,1983400
2020-07-09,58.790001,59.049999,57.799999,57.959999,56.569321,2337300
2020-07-10,58.320000,58.950001,57.880001,58.900002,57.486767,1501900
2020-07-13,60.240002,60.660000,58.660000,58.750000,57.340366,3181500
2020-07-14,59.380001,60.900002,59.349998,60.840000,59.380219,3333900
2020-07-15,61.560001,61.610001,60.470001,60.869999,59.409496,2249400
2020-07-16,60.869999,61.330002,60.639999,61.180000,59.712059,2440000
2020-07-17,61.669998,62.220001,61.509998,62.150002,60.658787,1995200
2020-07-20,61.939999,62.790001,61.919998,62.419998,60.922306,1782800
2020-07-21,61.419998,61.900002,61.299999,61.310001,59.838943,2048100
2020-07-22,61.180000,61.540001,61.040001,61.439999,59.965820,1193900
2020-07-23,61.200001,61.389999,60.369999,60.680000,59.224056,1267700
2020-07-24,60.299999,61.009998,60.180000,60.770000,59.311897,1302100
2020-07-27,61.590000,62.650002,61.430000,62.570000,61.068707,2036300
2020-07-28,61.349998,61.869999,61.220001,61.279999,59.809658,1927500
2020-07-29,62.480000,62.939999,61.930000,62.680000,61.176071,1626400
2020-07-30,60.689999,61.240002,60.130001,61.040001,59.575420,1733600
2020-07-31,60.709999,61.070000,60.240002,61.040001,59.575420,3109800
2020-08-03,62.400002,62.790001,61.840000,61.910000,60.424545,2189000
2020-08-04,61.849998,62.270000,61.630001,61.860001,60.375744,3299200
2020-08-05,64.059998,65.199997,63.910000,64.599998,63.049999,3370900
2020-08-06,62.250000,62.759998,61.880001,62.459999,62.459999,2424900
2020-08-07,61.400002,61.430000,60.439999,60.950001,60.950001,2051800
2020-08-10,61.470001,62.119999,61.310001,61.610001,61.610001,1609000
2020-08-11,62.419998,62.509998,61.240002,61.349998,61.349998,2063700
2020-08-12,62.490002,63.320000,62.150002,62.320000,62.320000,3013900
2020-08-13,62.009998,62.470001,61.540001,61.799999,61.799999,1566700
2020-08-14,61.709999,61.830002,61.270000,61.590000,61.590000,853500
2020-08-17,62.950001,63.240002,62.250000,62.459999,62.459999,1750900
2020-08-18,63.570000,63.709999,63.020000,63.580002,63.580002,1816600
2020-08-19,63.650002,63.759998,62.130001,62.230000,62.230000,1283100
2020-08-20,61.119999,62.200001,61.080002,62.160000,62.160000,1892600
2020-08-21,61.060001,61.650002,60.959999,61.529999,61.529999,1639500
2020-08-24,62.240002,62.250000,61.549999,61.820000,61.820000,1079400
2020-08-25,61.200001,61.340000,60.459999,61.040001,61.040001,1194700
2020-08-26,61.080002,61.889999,60.869999,61.759998,61.759998,1265000
2020-08-27,62.509998,62.509998,60.820000,61.209999,61.209999,1214000
2020-08-28,61.560001,62.270000,61.419998,61.980000,61.980000,2143900
2020-08-31,61.980000,62.029999,61.189999,61.230000,61.230000,1233300
2020-09-01,61.779999,62.520000,61.279999,62.209999,62.209999,2378600
2020-09-02,62.750000,62.779999,61.860001,62.320000,62.320000,1403600
2020-09-03,61.180000,61.250000,59.480000,60.250000,60.250000,2695100
2020-09-04,60.959999,61.860001,60.099998,61.500000,61.500000,2044000
2020-09-08,60.490002,61.630001,60.150002,60.869999,60.869999,1321700
2020-09-09,62.040001,62.529999,61.930000,61.930000,61.930000,1808200
2020-09-10,62.299999,62.490002,60.700001,60.889999,60.889999,2100300
2020-09-11,62.720001,64.330002,62.500000,63.939999,63.939999,3796500
2020-09-14,64.769997,64.779999,63.860001,63.860001,63.860001,1788000
2020-09-15,66.519997,66.550003,65.230003,65.430000,65.430000,3486600
2020-09-16,65.800003,65.980003,64.629997,64.839996,64.839996,3231000
2020-09-17,63.889999,64.970001,63.830002,64.720001,64.720001,2169700
2020-09-18,65.519997,65.589996,64.410004,64.419998,64.419998,1627300
2020-09-21,62.270000,62.430000,60.820000,61.599998,61.599998,2611000
2020-09-22,61.330002,61.590000,60.549999,61.410000,61.410000,1883500
2020-09-23,61.279999,61.430000,60.290001,60.400002,60.400002,1979100
2020-09-24,60.860001,61.900002,60.459999,61.169998,61.169998,1869900
2020-09-25,59.900002,60.419998,59.380001,60.360001,60.360001,2219800
2020-09-28,60.820000,61.099998,60.209999,60.490002,60.490002,3094400
2020-09-29,60.509998,60.759998,60.060001,60.209999,60.209999,2619900
2020-09-30,60.520000,60.759998,60.070000,60.389999,60.389999,2283300
2020-10-01,60.560001,60.720001,59.540001,59.820000,59.820000,1692100
2020-10-02,59.320000,61.009998,59.240002,60.490002,60.490002,2398600
2020-10-05,60.639999,61.349998,60.610001,61.230000,61.230000,1289100
2020-10-06,60.990002,61.080002,59.500000,59.610001,59.610001,2844200
2020-10-07,60.770000,61.840000,60.750000,61.200001,61.200001,1983400
2020-10-08,61.490002,61.599998,60.939999,61.520000,61.520000,1387100
2020-10-09,62.959999,63.139999,62.049999,62.090000,62.090000,4041200
2020-10-12,61.840000,61.939999,61.509998,61.689999,61.689999,2086500
2020-10-13,61.049999,61.270000,60.560001,61.070000,61.070000,1681500
2020-10-14,61.340000,61.459999,60.869999,61.000000,61.000000,1365100
2020-10-15,59.500000,60.730000,59.470001,60.549999,60.549999,1441400
2020-10-16,60.380001,60.630001,60.000000,60.049999,60.049999,1206700
2020-10-19,59.900002,60.400002,59.090000,59.230000,59.230000,1867500
2020-10-20,59.230000,59.939999,59.169998,59.580002,59.580002,1367000
2020-10-21,59.700001,61.009998,59.680000,60.220001,60.220001,1978200
2020-10-22,59.779999,60.110001,59.070000,59.900002,59.900002,1113100
2020-10-23,59.689999,60.029999,59.419998,59.599998,59.599998,1312100
2020-10-26,59.000000,59.020000,57.919998,58.279999,58.279999,1816700
2020-10-27,57.610001,58.299999,57.400002,57.950001,57.950001,2190300
2020-10-28,55.610001,55.980000,55.389999,55.419998,55.419998,3917700
2020-10-29,55.790001,56.779999,55.389999,56.650002,56.650002,2861400
2020-10-30,56.430000,56.830002,56.049999,56.770000,56.770000,2324000
2020-11-02,57.779999,57.900002,57.049999,57.410000,57.410000,2180100
2020-11-03,59.410000,59.410000,58.720001,58.820000,58.820000,2032100
2020-11-04,57.490002,57.900002,56.970001,57.599998,57.599998,2445500
2020-11-05,58.910000,59.619999,58.720001,58.779999,58.779999,1827200
2020-11-06,60.549999,61.200001,60.099998,60.830002,60.830002,2086100
2020-11-09,63.110001,63.209999,60.240002,61.560001,61.560001,3005600
2020-11-10,63.000000,63.689999,62.630001,62.709999,62.709999,3277900
2020-11-11,62.980000,63.290001,62.619999,62.970001,62.970001,1846900
2020-11-12,62.150002,63.000000,61.820000,62.060001,62.060001,1301400
2020-11-13,62.029999,62.830002,62.029999,62.509998,62.509998,1090800
2020-11-16,63.080002,63.389999,62.750000,63.169998,63.169998,1452200
2020-11-17,62.840000,63.540001,62.389999,63.259998,63.259998,1864600
2020-11-18,63.599998,63.939999,63.029999,63.090000,63.090000,1489100
2020-11-19,62.830002,63.110001,62.209999,63.110001,63.110001,1051400
2020-11-20,63.599998,63.880001,63.240002,63.529999,63.529999,1251200
2020-11-23,64.279999,65.489998,64.230003,65.379997,65.379997,1760000
